c_id,sentiment,tweet1,tweet2,org,loc,per,oth,negative,positive
77.0,Positive,"News Wrap: Activist for Girls' Education, 14, Shot by Taliban - PBS: Girls' education activist Malala Yousufzai ... ",Pls Sign and RT Support brave #Pakistan teenage activist #Malala shot by Taliban for speaking out for girls' education. ,,PAKISTAN,"MALALA,MALALA YOUSUFZAI",TALIBAN,6,4
79.0,Positive,Omarion sit yo diddy dancing ass down,Omarion Sit Yo Dancing Ass Down lol,,,OMARION,,5,4
80.0,Negative,He will forever be that black band boy nigga! Lmao RT @AngelicaRed: Omarion still dancing like he on B2K lol,"""@Pevone_Dratt25: My nigga Omarion was Dancing his ass off, his heart is still wit B2K Lmfao!!"" Lmao",LMAO,,OMARION,,64,9
81.0,Negative,"Omarion came out like dancing like ""It's Morphin time""",I can not believe Omarion came out dancing like that yo. I'm dying 😭😭😂😂,,,OMARION,,8,0
84.0,Negative,"""@deezy215_: this gay ass nigga Omarion on here .. fuck ass wanna be hard dancing ass b2k love song singing ass nigga . 😒""",Lmao at Omarion gay ass come dancing on stage 😂😭,LMAO,,OMARION,,27,1
19.0,Negative,Pakistani girl shot in head by the Taliban Fuck the taliban #PiecesOfShit,14-Year-Old Education Rights Activist Shot In Head &amp; Neck By Taliban In Pakistan: A vicious... follow @DaynaDiamond,DAYNADIAMOND,PAKISTAN,,"TALIBAN,PAKISTANI",10,4
14.0,Negative,"""Malala Yousafzai"" 14 year old Pakistani Girl was shot by The Taliban on her way home from school because she... ",Thoughts and prayers go out to Pakistani 14 yr old girl Malala Yousafzai who was shot by the Taliban today for one thing - going to school,,,MALALA YOUSAFZAI,"TALIBAN,PAKISTANI",37,21
104.0,Positive,"Russian Court Frees One Pussy Riot Member: A Moscow court of appeals has freed one member of Pussy Riot, but ha... ",Moscow court frees 1 of 3 Pussy Riot members: A Moscow appeals court has freed one of the jailed Pussy Riot members but upheld the tw...,PUSSY,MOSCOW,,RUSSIAN,38,56
110.0,Negative,"BAE and EADS cancel merger plans: Aerospace and defence firms BAE Systems and EADS cancel their planned merger, after talks are thwar...",Aerospace Giants EADS and BAE Systems Abandon Merger Talks: EADS and BAE Systems will not extend their merger talks later on Wednesda...,"BAE SYSTEMS,EADS,BAE",,,,162,59
117.0,Negative,journalism news Malala Yousafzai: Surgery to remove bullet 'a success' - BBC News ,BBC News - Malala Yousafzai: Pakistan bullet surgery 'successful' - The Taliban are cowards and pond scum,"BBC NEWS,MALALA YOUSAFZAI",PAKISTAN,MALALA YOUSAFZAI,TALIBAN,20,0
125.0,Positive,Shell faces lawsuit over Niger Delta pollution: THE HAGUE (Reuters) - Royal Dutch Shell faces a lawsuit from fou... ,Shell faces lawsuit over Niger Delta pollution: (Reuters) — Royal Dutch Shell P.L.C. faces a lawsuit from four N... ,"SHELL,NIGER DELTA,ROYAL DUTCH SHELL","THE HAGUE,NIGER,HAGUE",,"NIGERIAN,DUTCH",18,38
143.0,Positive,Aljazeera news Moscow court frees one Pussy Riot member: Appeals court reconsiders its decision over Yekaterina ... ,Moscow court frees one Pussy Riot member: Appeals court reconsiders its decision over Yekaterina Samutse... #AJNews,ALJAZEERA,MOSCOW,"YEKATERINA SAMUTSEVICH,YEKATERINA",,0,6
147.0,Negative,' @photon4DEV Lance Armstrong’s Ex-Teammate Admits Doping and Says He Named Names: Lance Armstrong's former Tou... ,"Hincapie, Former Lance Armstrong Lieutenant, Admits Doping in Cycling Estaba claro el culpable HINCAPIE",,,"ARMSTRONG’S,LANCE ARMSTRONG'S,HINCAPIE,GEORGE HINCAPIE,LANCE ARMSTRONG",CYCLING ESTABA CLARO EL CULPABLE HINCAPIE,12,5
163.0,Positive,Lance Armstrong ran most sophisticated doping program ever: USADA report: Lance Armstrong and his team ran the m... ,Lance Armstrong 'centre of doping racket': The US Anti-Doping Agency says cycling legend Lance Armstrong's team ... ,,US,"USADA,LANCE ARMSTRONG'S,LANCE ARMSTRONG",,54,89
169.0,Negative,George Hincapie confesses to doping: BMC rider hopes to stay involved in the sport ,No surprise &gt; George Hincapie Confesses To Doping #Doping #Cycling,BMC,,GEORGE HINCAPIE,,4,2
173.0,Positive,Surprising spiral structure spotted by astronomers: Astronomers have discovered a surprising spiral structure in... ,"Astronomers discover unimaginably large diamond in space: LONDON, Oct 11 — Astronomers have discovered a planet ... ",,LONDON,,,6,29
178.0,Positive,"Turkey intercepts Syrian plane: Turkish fighter jets force a Syrian passenger plane, suspected of carrying weapons, to land at Ankara...","BBC: Turkey intercepts Syrian plane: Turkish fighter jets force a Syrian passenger plane, suspected of carrying weapons, to land at A...",,"ANKARA,TURKEY,BEIRUT",,"SYRIAN,TURKISH",40,222
179.0,Positive,Obama nominates top Marine as Afghan commander: AFGHANISTAN-USA-COMMANDER:Obama nominates top Marine as Afghan commander,Obama nominates top Marine as Afghan commander: WASHINGTON (Reuters) - President Barack Obama on Wednesday nominated General Joseph D...,,WASHINGTON,"BARACK OBAMA,JOSEPH D,OBAMA",AFGHAN,4,6
202.0,Negative,"NI to get private abortion clinic: The first private clinic to offer abortions to women in Northern Ireland is due to open next week,...",NI to get private abortion clinic: The first private clinic to offer abortions to women in Northern Ireland is due... ,,IRELAND,,,30,0
203.0,Positive,Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuters) - China's Lenovo Group Ltd edged out Silicon Valley ic...,Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuters) - China's Lenovo Group Ltd edged ... ,"LENOVO,CHINA'S LENOVO","SILICON VALLEY,SAN FRANCISCO",,,4,18
211.0,Negative,Probe into Savile hospital claims: Hospitals are investigating allegations that TV presenter Sir Jimmy Savile pr... ,News Probe into Savile hospital claims Hospitals are investigating allegations that TV presenter Sir Jimmy Savile pre ,,SAVILE HOSPITAL,JIMMY SAVILE,,22,11
115.0,Negative,Ireland vs Germany Preview World Cup 2014 Qualifying: Ireland vs Germany Preview 12 October 2012 Ireland will... ,"New Event Listed : Oct 11, 2012: ((2012))Germany vs Republic of Ireland Live Streaming FIFA World Cup Qualifying... ","IRELAND,REPUBLIC OF IRELAND","GERMANY,IRELAND",,"FIFA WORLD CUP,WORLD CUP",5,1
215.0,Positive,A-Rod humbled AND the Yankees win a huge game. Does it get any better than that?,And the Yankees win the game nigga ! Goodnite I'm out (;,"A-ROD,YANKEES",,,,4,2
220.0,Negative,So youre saying jayson werth hit a walk off and raul hit a walk off and hunter pence was the emotional leader to help the sanfran come back?,Werth it back back back gone nationals win on a walkoff home run from Jason Werth #NATITUDE #NLDS #walkoff were still in it. #Nationals,,,"SANFRAN,WERTH,JASON WERTH,JAYSON WERTH,RAUL,HUNTER",,38,27
224.0,Negative,Shell faces Nigeria spill case: Oil giant Shell is due to appear in court in the Netherlands charged with polluting villages in the N...,Shell faces Nigeria spill case: Oil giant Shell is due to appear in court in the Netherlands charged with pollut... ,SHELL,"NETHERLANDS,THE NETHERLANDS,NIGERIA",,,17,12
231.0,Negative,"BBC News - Mali Islamists 'buying child soldiers, imposing Sharia' ",Islamist in Mali buys child soldiers ,BBC NEWS,MALI,,"ISLAMIST,MALI ISLAMISTS",6,0
232.0,Positive,Playoff baseball is awesome! Two walkoffs in one night!,All I can say is wow and this is why I love playoff baseball. Make the bay proud @Athletics #octobernie,,,,,1,4
234.0,Positive,"Love playoff baseball!!! Go A's, O's, and Giants!",Playoff baseball at its finest,,,,,1,5
247.0,Negative,Yemen security chief at US Embassy killed - CBS News - CBC.ca Yemen security chief at US Embassy k... ,Security Officer at US Embassy in Yemen Killed: Yemeni security officer at US Embassy in Sanaa killed in drive-b... ,"CBC.CA YEMEN,CBS NEWS","YEMEN,SANAA,US",QASSEM AQLANI,YEMENI,102,9
248.0,Negative,Masked gunmen kill U.S. embassy employee in Yemen: SANAA (Reuters) - Masked gunmen shot dead a Yemeni man on his... ,Gunmen kill Yemeni who worked at U.S. embassy in Yemen: SANAA (Reuters) - Masked gunmen shot dead a Yemeni man w... ,REUTERS,"YEMEN,SANAA,U.S.",,YEMENI,8,0
253.0,Negative,"A sore throat? Really?!! RT @BBCSport: Ryan Bertrand, who has a sore throat will miss England's qualifier against San Marino",LOL wtf :/ “@SkySportsNews: Ryan Bertrand out of England's World Cup qualifier against San Marino with a sore throat.”,,SAN MARINO,RYAN BERTRAND,"ENGLAND'S,WORLD CUP",21,0
257.0,Positive,Chinese writer Mo Yan wins Nobel literature prize: Chinese writer Mo Yan wins Nobel literature prize; known for ... ,Chinese writer Mo Yan wins Nobel literature prize: Chinese writer Mo Yan won the Nobel Prize in literature on Th... ,,,MO YAN,"CHINESE,NOBEL PRIZE",24,213
264.0,Negative,Man jailed over PC deaths T-shirt: A man who wore a T-shirt with offensive comments referring to the killing of ... ,#hyperlocal #leeds Man jailed over PC deaths T-shirt: A man who wore a T-shirt with offensi... #wigan #stockport #3,"STOCKPORT,WIGAN",,,,7,0
272.0,Negative,"Flash floods hit coastal village: Heavy rain causes flash flooding in a north Devon coastal village, damaging homes and pulling up co...","Flash floods hit coastal village: Heavy rain causes flash flooding in a north Devon coastal village, damaging ho... ",,NORTH DEVON,,,18,5
277.0,Negative,U.S. Appeals Court Lifts Galaxy Nexus Sales Ban: The temporary sales ban of the Samsung Galaxy Nexus was overtur... ,Ban on Samsung's Galaxy Nexus overturned by U.S. appeals court: A ban on imports of Samsung’s Galaxy Nexus i... ,GALAXY,U.S.,,SAMSUNG GALAXY,116,29
279.0,Positive,Hezbollah says it sent drone over Israel - USA TODAY: USA TODAYHezbollah says it sent drone over IsraelUSA TODAY... ,Hezbollah 'flew spy drone over Israel': THE leader of Lebanon's Hezbollah says his group's spy drone flew over s... ,"ISRAELUSA,REUTERS,USA TODAYHEZBOLLAH,HEZBOLLAH","USA,BEIRUT,ISRAEL",,"LEBANON'S,LEBANESE",35,36
298.0,Negative,Watching a posey grand slam while wearing a posey jersey...feels so good. MVP baby,Posey just hit a grand slam!!!!! Way to go baby!!! #MVPosey #LetsGoGIANTS ⚾😍😘🏆,,,POSEY,,9,0
299.0,Negative,Buster Posey with a grand slam for the Giants. Wow. Giants take 6-0 lead.,Buster Posey grand slam Giants lead Reds 6-0 in 5th in game 5 of NLDS,"REDS,NLDS,GIANTS",,"BUSTER POSEY,POSEY",BUSTER POSEY GRAND SLAM,83,2
290.0,Positive,Egypt removes general prosecutor to appease protesters: CAIRO (Reuters) - Egypt's president removed the general ... ,News by Yahoo Egypt removes general prosecutor to appease protesters: CAIRO (Reuters) - Egypt's president remove... ,"LIFESYLE EGYPT,EGYPT'S,REUTERS,YAHOO EGYPT","CAIRO,EGYPT",,EGYPT'S,11,3
313.0,Positive,"Ryan: Romney policy will be to oppose abortion except in cases of rape, incest or life of the mother ","#Ryan says the policy of a #Romney/Ryan administration will be to oppose abortion except for rape, incest and life of the mother.",,,"RYAN ROMNEY,RYAN,ROMNEY",,32,57
317.0,Negative,"#gop #tcot WATCH LIVE: Joe Biden, Paul Ryan faceoff in Kentucky VP debate: Vice President Joe Biden an... #teaparty","Vice pres debate: democrats - good moderator, go get 'em Biden; repubs - Biden keeps interrupting, why is the moderator cutting off Ryan?",,KENTUCKY,"BIDEN,OBAMA,JOE BIDEN,PAUL RYAN,ROMNEY,RYAN",DEMOCRATS,638,686
333.0,Negative,Someone I was following just said that UNCLE JOE annoys them. BUHBYE! Don't diss Uncle Joe! :P,Lets go uncle joe! Take the momentum back tonight! @JoeBiden #debate,,,"UNCLE JOE!,JOE",,7,7
342.0,Positive,Damn you Jason Werth but ya gotta love playoff baseball. That was awesome.,Jason Werth walks off for the Nats! Playoff baseball is good stuff.,"YA GOTTA,NATS",,JASON WERTH,,25,10
343.0,Positive,Werth it? Werth it! Jayson Werth with the game winner off of Lance Lynn! #NATITUDE,Jayson Werth looks like a fucking caveman... But he just clutched it with the walk off bomb,,,"JAYSON WERTH,LANCE LYNN,WERTH",,22,12
344.0,Positive,Look at you Jayson Werth. More clutch than Raul #whatashot #clutch,Totally just called the jayson werth homerun #clutch,,,"JAYSON WERTH,JAYSON",,5,6
341.0,Negative,"LIVE: The Duel in Danville: Biden, Ryan take center stage in VP debate: Watch the vice presidential debate betwe... ","LIVE: The Duel in Danville: Biden, Ryan take center stage in VP debate: Watch the vice presidential debate... #mesa",,DANVILLE,"RYAN,BIDEN",,96,149
353.0,Negative,Space shuttle Endeavour set for road trip to final Los Angeles home: LOS ANGELES (Reuters) - The retired space s... ,U.S. #news Space shuttle Endeavour set for road trip to final Los Angeles home #reuters,"REUTERS,YAHOO!","LOS ANGELES,U.S.",,,6,0
321.0,Negative,IRAN time is: 4 AM #Iran #Tehran,Iran is going to get wiped off the map. It's just a matter of time,,"TEHRAN,US,IRAN",,MOJAHEDIN,6,1
348.0,Negative,"Reality: ""George Romney was a car guy."" Ryan: ""Mitt Romney is a car guy.""","""Mitt Romney's a car guy"" says Ryan, prompting a hardly-stifled guffaw from Biden. #nbcpolitics",,,"BIDEN,ROMNEY'S,ROMNEY,GEORGE ROMNEY,MITT ROMNEY'S,RYAN,MITT ROMNEY",AMERICAN,84,133
368.0,Positive,Therrell wack af tawn bout no pep rally tomorrow we gotta go in tomorrow.,Pep Rally gonna be real tomorrow ! Smith better let us go out in groups,,,"I'M,SMITH,THERRELL",,8,5
385.0,Positive,"Answer the question, kiddo. Answer the question. #afghanistan #vpdebate #Ryan",Geez. The moderator asked Joe Biden the first question and he couldn't even answer it. He just monologued. Just answer the question.,,AFGHANISTAN,"KIDDO,JOE BIDEN,RYAN,GEEZ",,30,81
401.0,Positive,Biden and the moderatOr are on the same aside. She interrupts Ryan and not Biden,"Love how Biden said everything #Ryan said was ""malarky"" #loveit #funny #gobidengo",,,"RYAN,BIDEN",,5,16
402.0,Positive,Biden: knock knock Ryan: who's there? Biden: interrupting cow Ryan: interrupt- Biden: MOO,VP Biden needs to stop interrupting Paul Ryan.. Seriously. Let the guy talk.,,,"RYAN,PAUL RYAN.,BIDEN",,13,15
404.0,Negative,"Joe Biden - Master Rhetor. Love this guy! RT @nytimes: Biden: ""With all due respect that 's a bunch of malarkey.""","""This is a bunch of stuff"" - what is a bunch of stuff? ""It's malarkey"" #BidenZinger #VPDebate",,,"MALARKEY,JOE BIDEN,BIDEN,THAT'S",,108,69
415.0,Positive,Whenever I hear anything about Martha Raddatz I always think Martha Napa and Martha Vegeta are on their way shortly.,#VPdebate Martha Martha Martha.... How much more bias can you get???,MARTHA VEGETA,,"MARTHA,MARTHA MARTHA,MARTHA NAPA,LOVE KENN,MARTHA RADDATZ",,20,24
423.0,Positive,Ryan: We cannot allow Iran to gain a nuclear weapons capability. #VPdebate,"""We cannot allow Iran to gain a nuke weapons capability,"" #Ryan. #debates",,IRAN,RYAN,,2,8
460.0,Negative,"""FACTS MATTER MARTHA...THEY'RE TRYING TO GET AROUND IT BUT FACTS MATTER!"" Go head Joe! He Gettin em! #Obama2012","Facts matter, Martha. Facts matter!",,,MARTHA,,2,17
461.0,Positive,Biden saying the facts matter is like saying the facts don't matter.,"#lyinRyan: If you don't know the facts, like Joe said, ""Facts Matter.""",,,"RYAN,BIDEN,JOE",,16,51
483.0,Negative,"Ryan: ""Mitt Romney is a car guy."" Literally: Romney is a gas-powered automotive machine outfitted with Sirius radio","""Mitt Romney is a car guy."" #WrongAgainRyan having a car elevator in ur house doesn't count",SIRIUS RADIO,UR,"RYAN,MITT ROMNEY,ROMNEY,WRONGAGAINRYAN",GERMAN,6,1
539.0,Negative,BBC US&amp;Canada: US overturns Samsung phone ban: A US court overturns a ban on sales of the Samsung Galaxy Nexus p... ,"US overturns Samsung phone ban: A US court overturns a ban on sales of the Samsung Galaxy Nexus phone, dealing a... ","US COURT OF APPEALS,BBC US&AMP,US COURT,SAMSUNG","CANADA,US",,SAMSUNG GALAXY,78,10
553.0,Negative,"Ryan, like many, seems to have inverted the idea of the separation of Church &amp; State. scary.",Separation of church and state is taken so out of context. Glad to see Ryan apply it correctly. #youtubepolitics,,,RYAN,,3,3
571.0,Positive,"Turkey: Syrian Plane Was Carrying Ammunition: (ANKARA, Turkey) — Escalating tensions with Russia, Turkey defende... ","Breaking: The #Moscow-#Syria plane intercepted by Turkey carried legal radar equipment, #Russia's foreign minister says. #News",TURKEY,"TURKEY,RUSSIA,ANKARA,MOSCOW,SYRIA",,"SYRIAN,RUSSIA'S",3,17
577.0,Negative,Please #pray for #Israel as #Hezbollah says sent Iranian-built drone over #Israel via @FRANCE24,"Hezbollah says sent Iranian-built drone over Israel The word to remember here is: ""It was shot down by Israel""","YAHOOSG,YAHOO!,HEZBOLLAH,FRANCE24",ISRAEL,,IRANIAN-BUILT,4,6
575.0,Positive,NOBEL PRIZE: Chinese author Mo Yan wins Nobel Prize for literature: Chinese writer Mo Yan has won the 2012 Nobel... ,Chinese writer Mo Yan wins Nobel literature prize: Chinese writer Mo Yan won the Nobel Prize in literature on Th... ,,,MO YAN,"CHINESE,NOBEL PRIZE,NOBEL",2,31
585.0,Positive,Egypt judges attack Mursi 'farce': Egyptian judges label the president's attempt to remove the prosecutor... Africa,"BBC: Egypt judges attack Mursi 'farce': Egyptian judges label the president's attempt to remove the prosecutor-general as a farce, bu...",,"AFRICA,EGYPT",MURSI,EGYPTIAN,1,18
431.0,Negative,OMG!!! Tied game #Cardinals #Nationals,OMG!!! @Cardinals have tied this game up!!,CARDINALS,,DEJA VU,WORLD SERIES! #NLDS,9,3
587.0,Negative,Gunman kills security chief at US Embassy in Yemen #libya #qaddafi,Gunman kills security chief at US Embassy in Yemen ,QADDAFI,"LIBYA,YEMEN,US",,YEMENI,6,0
589.0,Negative,Nope! Ichiro grounds out and we're going to the 13th. #Yankees 1 #Orioles 1 #MLBonESPN975,Orioles 2 Yankees 1 top of the 13th,"ORIOLES,YANKEES",,ICHIRO,,9,5
594.0,Negative,How long is this Yankees game gonna last can the Yankees jst lose already :/,If yankees and the cardinals both lose tonight it will be the best night ever!!,"YANKEES,CARDINALS,SMH,LSU",,,,6,1
601.0,Negative,"LMAO when you type ""bus driver"" into the google search engine the first suggestion is ""bus driver uppercut""",That was a Mortal Kombat uppercut! #Toasty! RT @sheh8meee: RT @DwynellRoland: The bus driver uppercut her tho...,LMAO,,"I'M,LMFAO",GOOGLE,21,0
616.0,Negative,Microsoft Office 2013 Reaches RTM Status: Microsoft Office 2013 has reached the RTM (Release to Manufacturing)... ,#Tech Microsoft Office 2013 Reaches RTM Status: Microsoft Office 2013 has reached the RTM (Release to Manufact... ,MICROSOFT OFFICE,,,RTM,25,1
613.0,Positive,Fight brewing over Greek austerity: A fight over the future of the Greek bailout is brewing between two key fact... ,Fight brewing over Greek austerity: A fight over the future of the Greek bailout is brewing between two ke... #news,,,,GREEK,0,13
634.0,Negative,Shuttle Endeavour makes trip through Los Angeles: LOS ANGELES (Reuters) - The retired space shuttle Endeavour wa... ,Space Shuttle Endeavour On Final Trek Through Los Angeles Streets: The space shuttle Endeavour is celebrating i... ,"REUTERS,BBC NEWS,BBC NEWSSPACE",LOS ANGELES,,,137,22
635.0,Positive,Eric Clapton's Richter sells for $34.2 million: A Gerhard Richter painting owned by Eric Clapton has sold for 21... ,#EntNews Eric Clapton's Richter sells for $34.2 million: A Gerhard Richter painting owned by Eric Clapton has so... ,,,"ERIC CLAPTON,ERIC CLAPTON'S RICHTER,GEHRARD RICHTER,GERHARD RICHTER",,47,61
636.0,Negative,"Nobel Peace Prize awarded to EU: The EU wins the Nobel Peace Prize for six decades of advancement of peace, reco... ","Nobel Peace Prize awarded to EU: The EU wins the Nobel Peace Prize for six decades of advancement of peace, reconciliation and human ...",EU,,OBAMA,"NOBEL PEACE PRIZE,RECO",116,40
644.0,Positive,"Space shuttle embarks on 12-mile trip to LA museum: At its prime, the space shuttle Endeavour cruised around the... ","Space Shuttle Endeavour On The Move Through LA: At its prime, the space shuttle Endeavour circled the gl... #fresno",FRESNO,LA MUSEUM,,,30,29
640.0,Negative,▒ EU Wins Nobel Peace Prize: EU Wins Nobel Peace Prize The European Union won the Nobel Peace Prize for f... ▒,European Union wins Nobel Peace Prize for uniting continent: NOBEL-PEACE-PRIZE-EUROPEAN-UNION:European Union wins Nobel Peace Prize ...,"EU,EUROPEAN UNION,VOICE OF AMERICA EUROPEAN UNION",,,"NOBEL PEACE PRIZE,EUROPEAN",218,23
667.0,Negative,"THERE'S ONLY ONE JIMMY SAVILLE, ONE JIMMY SAVILLE. WITH A PACKET OF SWEETS AND A CHEEKY SMILE, SAVILLE IS A FUCKING PAEDOPHILE",Jimmy Savile sex scandal: BBC apologises to 'victims' as it launches two inquiries: Police investigating the Sir Jimmy Savile sex abu...,,,"SAVILLE,JIMMY SAVILE,JIMMY SAVILLE",,23,11
672.0,Negative,Sligo Rovers v St Patrick's Athletic - Airtricity League Premier Division: 13 October 2012; Raffaele Cretaro... ,"Just commented on @thescore_ie: ""LIVE: Sligo Rovers v St Patrick’s Athletic, Premier Division"" - ","SLIGO ROVERS,ST PATRICK'S,ST PATRICK’S",,RAFFAELE CRETARO,AIRTRICITY,5,8
673.0,Positive,UN: Fear grows as Mali extremists compile list of unwed mothers: Radical Islamists are compiling a list of unmar... ,Fear grows as Mali extremists compile list of unwed mothers: Radical Islamists are compiling a list... #trending #news,U.N.,MALI,,"MALI,ISLAMISTS,RADICAL ISLAMISTS",1,6
665.0,Positive,Botswana women allowed to inherit: The Botswana High Court overturns a customary law which prevented women from inheriting the family...,Botswana women allowed to inherit: The Botswana High Court overturns a customary law which prevented women from ... ,,BOTSWANA,,,11,9
